,extinction,encoding,concept,belief,categorization,valence,sentence_comprehension,detection,eating,decision_making,rehearsal,learning,planning,retention,action,anxiety,strength,manipulation,intention,emotion_regulation,attention,adaptation,maintenance,perception,emotion,decision,knowledge,social_cognition,episodic_memory,listening,search,balance,induction,focus,consciousness,memory_retrieval,naming,expectancy,word_recognition,familiarity,pain,anticipation,thought,monitoring,recognition,reasoning,response_inhibition,integration,loss,consolidation,psychosis,morphology,uncertainty,localization,mental_imagery,spatial_attention,speech_perception,task_difficulty,response_selection,strategy,updating,mood,cognitive_control,face_recognition,salience,efficiency,inhibition,visual_perception,intelligence,verbal_fluency,empathy,expertise,interference,reinforcement_learning,goal,object_recognition,retrieval,association,context,working_memory,insight,communication,competition,impulsivity,facial_expression,coordination,reading,inference,discrimination,language_comprehension,visual_attention,judgment,rule,selective_attention,memory,arousal,distraction,rhythm,skill,semantic_memory,reward_anticipation,imagery,sustained_attention,fixation,priming,navigation,utility,hyperactivity,speech_production,gaze,risk,sleep,autobiographical_memory,multisensory,recall,movement,addiction,language,effort,stress,motor_control,meaning,fear
lh_7Networks_LH_Limbic_TempPole_4,0.07352363814910252,-0.01340897143818438,-0.2498169170382122,0.5299652767678101,-0.5993238655229409,-0.3860053012923648,0.31415263128777343,0.2171460651171704,1.2115251214553913,-0.1601759236616393,-0.18363900983240455,-0.40978238626072805,-0.5633469921847184,0.12740435047696033,-0.9667276807129384,-0.23107662730229397,-0.4606848714329923,-0.7780295181088149,-0.01492400715748469,-0.11687901119391124,-0.37103312227409335,-0.4095206220323841,-0.1230738438355426,-0.44823256383339566,-0.4990488873639454,0.1579387510816256,1.6228499863296748,0.24877760342011848,0.8839440832535426,0.0895360811923941,0.9530229257419706,0.3264072897223135,-0.008503001260881623,0.44943440531690915,-0.5111831764380137,0.48841116404510104,-0.06660815724171698,-0.22689208773275216,0.6680980668713649,-0.411570413922891,-0.06345352521166206,-0.017669588575760523,1.6392212475960453,0.22549864742904902,0.01086531678835551,0.03246655446322014,-0.7927521071086328,0.6003730363833407,1.3217790642520413,0.10161581213275592,0.18247482785955071,0.7868723204359412,-0.22424030577143034,0.027359558009387306,-0.1681358619670694,-0.7168603708346685,0.058569764035443464,-0.539113937318325,0.20417354598951837,-0.4086172655845682,-0.3777673189838727,0.3690692519575047,0.3441919649640719,0.22792867024739583,-0.38283672647861144,0.3683099257449309,-0.29052014912789065,-0.2254253052175045,0.779510675991575,-0.26275914097980907,-0.005601139289016525,0.21852064856793732,-0.41174762514419855,-0.27288644189635913,-0.11008161442975203,-0.11119851432740688,0.7586220078170299,0.45088836510355274,-0.31794405257484565,-0.08039798818839093,-0.4805752279702574,-0.14905748926103116,-0.018673704999188582,0.16904178336262704,-0.22148698332409064,0.19164776628216107,0.45608445040415974,-0.28187147912879784,-0.5450306924991309,0.17954866886138915,-0.6691422447562217,-0.4932794011508425,-0.186913021436582,-0.09767243353029093,0.4981796584092081,-0.2957707236210505,-0.2158472478079299,-0.2494480097045501,0.0793562961742282,1.217934441913773,0.06049304983268181,-0.27080292453368504,-0.31665892886618774,-0.33694747020102417,-0.5179078317247331,-0.038267674211723106,0.1053853931526343,1.5756359498326977,0.54972289322565,1.1757909050832192,0.7663365711147586,0.9295698141679167,0.3587693389815589,-0.052146168309263885,0.9519773059835036,-1.0548148024827242,0.36445233351551,0.8354160481831059,-0.12468068616775176,0.9558930753419796,-0.4382413963850316,0.9938696274533868,0.04739276630183061
lh_7Networks_LH_Limbic_TempPole_5,-0.2367447131260667,1.986675060301457,0.7357696737953514,-0.356928343902219,-0.989874956953638,-0.14959309619130953,-0.02111099660396576,-0.4201597145205047,0.1978627271106783,-0.7557915093834108,-0.22421051428284286,-0.07502521281042751,-0.08783165014454357,1.0653216503384821,-0.614919864062993,-0.5009138877415713,-0.6488511823117733,-0.060025282731314876,-0.38487217069234486,0.37284420648554584,-1.5158257540666833,-0.043930767701481875,-0.5132563672860961,-0.1807190129217112,-0.23770618301658136,0.6581754329030068,0.6398127982920071,-0.4005258633350989,1.1568258825759843,1.0828246149884642,0.21927288032295006,-0.3331630962004639,-0.2788796790365903,-0.2849306174870229,-0.2897834598947808,0.7636242244515639,1.585443764925003,-0.5318874475669186,2.3091876220028356,0.45455412148445284,-0.5739129817570156,-0.20470418668580506,0.6799787578858295,0.050471527115354,2.5639913419507585,-0.2132570928858839,-0.9643533176408624,1.341793977181023,1.0760103473439813,-0.14496954752764893,-0.4612306741962455,0.16841604604543942,-0.35869657499539964,-0.5321033502805907,-0.020798172450290538,-0.5308325338827552,0.07776189606004166,0.022714084023082594,-0.5300773269022411,-0.6486210404139645,-0.8499479101232763,-0.22890929181023306,-0.5880163633528183,0.5487593007537553,-0.2924468332796164,-0.33444816844080977,-0.8860471913555883,-0.5749401149322402,-0.4977567122616577,-0.6870459663980412,-0.2279905158288355,1.073479822221792,0.23532054626013874,-0.22021386350663202,-0.7410479755193558,0.4008209824755366,1.6584360021043498,0.6583315973029524,1.133987623003294,-1.2189597807174444,-0.052640343875676954,0.26842402897002,-0.048875313955095576,-0.13965095356458201,0.37309160829469,-0.8923807146976579,2.493340567000351,-0.5816702295340738,-0.5631564737490888,1.6063554572328083,-0.180201160036168,1.274326294766001,0.45046944311767256,-0.5972374595771983,1.6733373731093586,-0.25958330430231,-0.05635259851356441,0.0007430386272663216,0.9429576405903922,2.079998429548347,0.5425883561794488,-0.4786384405462809,-0.38382602047245457,0.26812936883103455,0.3408745704350536,-0.20752758954493505,-0.30695569775295706,-0.23856828364687488,0.25956230582493656,0.4024602151036544,-0.5301900243140617,0.5631202080436403,1.0719669988414027,-0.010264955566457982,1.5758477954088517,-1.0640049093174484,-0.20076236496943067,1.5761603166191083,0.4919711261425378,-0.044173810349882776,-0.7614207561567145,1.88689017127145,0.27560520097437613
lh_7Networks_LH_Limbic_TempPole_6,-0.40896628707026444,0.8743738537499061,0.4997151216569667,2.2900807497402034,-0.6826087443468472,1.2902679854615902,0.8998136314563453,-0.4355058970550696,-0.02423309738126894,-0.8302423129479091,-0.3475230665877461,-0.3791726869841417,0.2873755363126596,-0.157839072161975,0.01650671288371086,-0.1684337234745423,-0.5389011146862989,-0.6595258638573189,0.4929582440604766,-0.035929754345367354,-0.8778910416488847,-0.5936451158796747,-0.08521407153457403,-0.6231126053763243,0.927090281744798,-0.05161687513270105,1.1431153153379758,2.468686750655373,1.3875193216527502,1.0528952455148102,-0.4157565850415267,-0.39468169398605824,-0.19294057092629374,-0.2343584095981593,-0.32441679056112965,1.473981117705504,-0.09323535452907285,-0.3740008227527142,0.03304402902722359,0.9721788697565595,-0.19202984934672712,-0.9526466126864155,0.9515047300917406,0.04454042464494705,1.038774728992333,0.03816113385061423,-1.0046744306882223,1.3414611368750533,0.31774750420202813,1.1948053202281395,-0.4931009237576897,0.3967957482673228,-0.4911472194517652,-0.414526578799511,-0.026860764343291522,-1.24004276295503,0.01785026372720798,0.22196758957579732,-0.5747798581180784,0.5342273044710358,-0.5030567129297803,-0.705125946396341,-0.4895094259331624,-0.45314899322887264,0.6191509995175389,-0.26893283675114316,-1.4372584603105982,-0.6034957344488551,-0.17066203290596604,-0.43329248232766987,2.1339435700327156,0.3196133171906695,-0.711220788396895,-0.4324030930797259,0.28210915382951496,-0.7315555463234583,2.673264017701149,-0.08026075270026922,1.1074620544289548,-0.45228144448871416,0.3947851972421631,1.45574003936102,0.28903159219771624,-0.9004993482182423,0.10371455823381742,-0.5838178649079054,1.2857933482776085,2.0310705865422887,0.3754387996469935,2.0288405150175093,-0.6746011753877004,0.012722803372889757,-0.3543890884146094,-0.20921966112218798,1.9502507319053015,0.5508420343510807,0.13024325906687106,-0.08931912656407803,0.8424567604616944,2.5589233618229628,-0.8477943564454714,-0.7969868158611159,-0.5223339015617967,-0.3952687991162141,-0.6295243749006961,-0.3124351216169695,-0.14562869660245875,-0.5136637719968955,0.6475462150604775,-0.37437217704330883,-0.2926907447787623,-0.006117942919566606,1.5675973383088906,-0.5945493604677419,0.27461179516782674,-1.2962283321966728,-0.5654420997016132,2.8886765468865634,-0.30317876596624654,-0.18229713554804525,-0.4375889774411917,2.7847945264851055,0.08316311053931713
lh_7Networks_LH_Limbic_TempPole_7,0.17662729443982245,1.045655501882235,-0.4223251013706128,0.2568457948664824,-0.30012913182533035,2.591126543780168,-0.21752819512039423,-0.729708918556571,0.38457465134561064,-0.7871492641822745,-0.5814594889990985,-0.4260393492722263,-0.3445731923605005,-0.4249899845570326,-0.5045376501977443,0.8106298276533683,-0.28166965596998733,0.3759738062197963,-0.07810296445774535,0.6609596472233534,-0.7087277342642968,-0.21782687497325243,-0.7370912320911884,0.609848220522205,2.803562145928542,-0.4053783671930432,-0.3034565478252868,-0.038159921493691705,1.1939032839611172,0.13794582608776787,-0.3866653829269732,-0.16431735499451558,0.4178057516614596,-0.4715383741383751,-0.48001005793339574,0.1606500390296181,0.5471353189398845,-0.20245598244170349,-0.4033017116288344,0.2806817319865028,1.9706224871178468,-0.3733718213314811,1.0242049920062224,-0.6993925258517265,0.21814075391739607,-0.058243830284724636,-0.11230857370731731,0.07874182524780432,0.9017108160691957,0.4620183816800515,0.3568850041599944,0.2081631826236844,-0.5535262979179,-0.10023217213650544,0.12941586878150702,-0.7945155854336917,-0.2532238303373257,0.1724869182643791,0.17056371204865475,-0.3984195260331035,-0.6107512368354946,0.5986329010998209,-0.9133877977107961,0.10184928035984436,0.929767187529554,-0.9260363505532344,-0.7383621534332633,-0.6345711566507817,0.31730238140250244,-0.285589929514875,1.310065129896005,0.4759799520485103,-0.41303812741922835,-0.4211435282602906,-0.9387002306679885,-0.24165242699285347,0.8890458588798841,0.21687033822915205,0.37794757662341,-0.6066047235081593,-0.5035637428363164,0.3769131687702611,-0.5995219788203637,-0.729761044929425,0.683138502885898,-0.8437106721103191,-0.16534959983546288,0.3574642243484656,0.12791956319318462,-0.14648121292120778,-0.8328213557600975,-0.6788051899522543,-0.6075381550937891,-0.18664701818488538,0.9997876223797599,0.5357246794116993,0.3752770581593116,0.2958415431358541,0.015464365513374408,1.4675833940713345,0.22625335616370043,-0.48579239131261903,-0.4209183574964603,-0.12570798229426144,-0.4990276576951146,-0.5697836769725352,-0.14662797257575827,0.21760438969358803,-0.23878320259973407,-0.26170373571415745,-0.25509167108684777,-0.7680859015012781,1.0769124043096479,0.679522127766783,0.8730003508428733,-0.8547886727688213,-0.477406336258476,0.6735627729445696,-0.022314433629314106,0.1339362032090624,-0.4359855303521423,-0.30250199176371095,1.9784393002899985
lh_7Networks_LH_Limbic_TempPole_8,1.636615077533373,4.806836892191956,0.3755936781625922,1.0434571454392336,0.32488236461607056,0.4559656045990201,-0.29140384013696413,-0.35728065190246194,0.41058764686217397,-1.3240813642013363,-0.6042714626698686,1.6708184815034635,-0.563143389185936,-0.7375338161137046,-2.3915087188162456,0.6095958765959595,0.8014029424364973,-0.2462467375870158,-0.5825582088039416,0.513937461655587,-0.5534058438568581,-0.12361434408713405,1.6974194745828466,-1.0820618951238874,0.6066054619121842,-1.0847258822220127,0.39259348655255827,0.017374061649983247,7.66042259844338,-1.231809654068656,0.2873130722493842,0.9925589779528176,-0.5178640451191402,-0.6750640438460722,-0.004171984133923926,5.399769671079589,-0.655850677046834,-0.2685551722959911,-0.23270184810205205,2.2602680169909104,0.019669933755677646,-0.8301743604242802,-0.055642560306118756,-0.1145082165589329,3.3776205874434333,-0.8703956478616086,-1.0370235777482755,0.7096313388972748,-0.1418490055494192,2.5076535067907195,-0.6265816897517298,-0.9464619975627923,0.0076105857762031074,0.27027560092463365,-0.38856685551155995,-0.7117319669256487,-1.0356751114538894,0.6903661602608314,-0.9983698492869735,0.3095355042051978,0.44619653267195314,-0.4217643233970171,-0.2068682566012551,0.1310905633357967,1.4042445375788501,0.23491203487373707,-0.9109546137837375,-0.3825601275737693,-0.4431790988438013,-0.5264102854743237,0.4274855450522609,-0.1400006723294898,-1.3860391858147412,0.052471801138869144,-0.07555034647627575,-0.15363721271249942,5.657560557853885,0.7509512730487963,0.1277833159831239,-0.7516155815342578,-0.09670724266594867,0.08761723994890727,-0.18558794705242646,-0.2830129185827767,-0.43615819432023095,-0.5896193955729647,-1.5277736023431872,-0.1331226238299434,-0.25734631499139277,0.6288030092581743,-0.22968434442470714,-0.34748062204069846,-0.26031711088811477,-0.7692851635014138,6.752674986676472,0.7460267144005474,-0.45174281635298963,-0.9553271343068379,-0.19894166845010547,2.941812662089743,0.037830091013414106,-0.5697459828381132,0.7871037700735941,-0.23928963181721727,-0.38939618746318466,2.4275118068950934,-0.8058833742014518,-0.6587929095982051,-0.9788420234874982,-0.7765109875216717,0.2020459730950434,1.0120066283497868,3.58558515077684,-0.12690323393539207,3.2221555484504236,-2.1019379336659503,0.25721824541687965,-1.1313317804370167,-0.7296394632175202,0.32039936686434395,-0.9624971912764921,-0.530111782071067,1.090535142072817
lh_7Networks_LH_Cont_Par_1,-0.09260490536689758,3.0081196355819704,0.6084006506204606,-0.7590891659259796,0.6003857272863388,-0.3850261288508773,0.41088580042123796,0.7135108682513237,-0.4088724135234952,-0.01239383488893509,1.375286339223385,0.9646313020773232,1.8732274233549833,0.5852341631799937,0.48306788176298143,-1.361134841442108,-0.9424674399197102,2.9168406856060027,-0.06487544685602188,-0.8833667108416557,0.9439210852980614,0.6851181922852994,2.8912335014343262,-0.25708139419555665,-2.1731976461410523,0.42383343279361724,1.1089465538784862,-0.9439705821871758,2.2586331689357757,-1.960865535736084,0.61171093583107,-0.5352922070026398,-0.032428376376628876,-0.13922870948910712,0.209874227643013,2.171602355837822,1.5079316347837448,0.026052273511886596,0.9023447144031524,2.0232213830947874,-2.0097711205482485,-0.5042782840877771,0.877299436032772,0.9190033328533173,0.5309667117148638,1.2190060442686081,0.009136068224906922,-0.37178725719451905,-1.409343478679657,0.5912171253561973,-1.5036325979232787,-1.122084549665451,0.38563170805573466,0.11849833071231843,2.339661053419113,0.2920436227321625,-0.7734033638238906,2.8471921184659004,-0.18327705845236777,1.493649891614914,0.7218419029563665,-1.3699666929244996,0.09577219367027283,-1.0203677821159363,-1.3173271148651837,0.09765998682938516,-0.7755246955901385,0.3977802303433418,-0.24845318660140037,0.7838824640214443,-1.27670147895813,1.6403410568833352,2.262289772033691,0.38871126145124435,1.8479254448413849,0.09174854762852191,6.101085948944092,-0.4392551222443581,-0.6009690219163895,3.892399339675903,-0.06106811508536339,-1.1228769813582766,0.14360874146223068,-0.005533406846225262,-1.5875269317626952,0.21427855610847474,2.204172491952777,0.3858004169166088,0.5532969945669174,0.1979048679769039,1.6061539393663407,2.2455886775255203,3.4428243398666383,0.234111486710608,4.8323352241516115,-0.9145290142297745,0.45663346886634826,-0.638817111775279,1.0190666216611861,0.704024917781353,-0.8467730425298214,2.0923437786102297,-0.5788132283091545,0.44864305183291436,0.2129201616346836,1.2011871403455734,-0.23747798979282378,-0.1362469891831279,0.6805653822422028,-0.21017616987228394,-1.3674308907985688,-0.9478342050313949,0.8246830028295516,0.5149229395389557,1.1750523400306703,-1.3519179558753966,-0.4524684338271618,2.6474495612084867,-0.4373582062125206,-1.9171916556358337,-0.565084602534771,0.8369772692769766,-2.2656228733062744
lh_7Networks_LH_Cont_Par_2,-0.5311392390479645,-0.20730965698815204,0.27475932020355354,0.9309274466200308,0.17163484154099767,-1.0437888394702564,0.1815322352516832,0.2734627259725874,-0.91480406712402,-0.22142992608926512,2.159802104374676,-0.9936499967042244,1.5794661045074463,0.044231681604728554,0.863592511438059,-0.10991392826492136,-0.11370604524784016,1.7101692900513157,0.8768895122250824,-0.3412648301966714,0.7487023129607692,1.5392505996155017,0.4779570752359701,0.518729736915592,-0.612014090642333,-0.1091184840735161,1.091362028241609,-0.26463497452663653,0.1299679291745027,-0.7319016125843381,-0.5691591640087691,-0.1271138588587443,-0.858638454115752,0.18858300172018283,0.9790323089921114,2.128852690936941,-0.15504765318650188,3.106749567118558,-0.23761604929512198,0.09194041314450177,0.1700425148010254,-0.4563944071079745,1.1002225252715023,2.2157269096509977,0.7682872757767186,0.7885972482688499,1.4555536086713388,-0.2566402478312904,-1.210505139647108,-0.2298293946536653,-0.7520766971689282,-1.3262597864324397,1.337686580013145,-0.7920752116196761,1.7366410331292585,-0.5254012045986725,-0.07787544992893483,0.33990885272170557,1.1778697602902397,0.12586842714385552,1.120933218040701,-1.2239902344616977,1.754290113282023,-1.0948245764681788,-0.1737072586335919,1.7153703227187649,0.9353700710150102,0.32762571565355314,-0.33030371729171637,-0.30048342794179916,0.31568633261221374,-0.4770757653044932,1.2016866586425088,0.20086386754657282,0.4427629393158537,-0.3823927483013408,2.440758135282632,-1.0935829404854414,0.8456758544356986,1.2420517267151312,0.602354957298799,-0.2794838126635913,0.3711376658104586,0.1587897873286045,-0.23207504403862086,0.4005538254524722,0.5434434914001913,-0.490227557944529,-0.018764126481431904,-0.17570608171323934,-0.5348190872958212,0.960099341234926,0.6164886108176275,-0.8873169887246508,1.3652935086777716,-0.5591397060815132,-0.43481956676326017,-0.46277158617070224,1.0635394984856248,-0.014788889975258799,-0.5470292390973279,1.2193464185252334,-0.7686209170655771,-1.046261555995002,0.03859167568611376,0.40985333840503835,-0.38319841704585333,-0.1842097580912664,0.28248636861980864,-0.7660586901404189,-1.2095940952951258,-0.8903714060557611,-0.016892575179085587,-0.509417680628372,-0.4744231772580833,-0.5354780960602291,-0.7649092389778658,1.0524690074451042,-0.6510380006705722,-1.7514716603539207,0.7198250132866881,-0.7744791244692875,-0.645164027471434
lh_7Networks_LH_Cont_Par_3,-0.3617922075920635,0.9057265837987264,0.8294975477788183,1.9933926641113229,-0.40774491547296443,-0.5887218515078226,0.31574284421900906,0.6843543060951762,-1.0766241245799595,0.2015478679496381,1.9294927497704824,-1.1266227066465135,0.7851305385430654,1.2837878424260352,0.8117032733642393,-1.0235561980141534,0.2519547840994265,0.7553950012506296,1.9151119934187995,1.422933084434933,1.012260070277585,-0.284762254378034,1.6143147794736756,-0.41127038593921394,0.5721920741928949,0.3327953309648567,1.1320285926262537,0.3914148724741406,1.8113187577989367,-0.26043945874811875,0.5377338904473516,0.11977641907417112,-0.8976316160625881,0.5718973144061036,0.7465972134636508,2.2753313223520917,0.3094429163158768,1.0728255598909324,0.15496719082196553,1.232324512799581,-1.0337384843991861,-1.7071496937010022,1.2005823774703055,1.4784746539261606,1.6547586268848844,3.109310107760959,0.26222032060225803,0.6346852115872833,-0.35417112327284284,-0.3070704899728298,-0.3922523092375033,-1.4000602086385092,1.7707967708508174,-0.5280120099584261,0.5851196867446157,-0.7672186884615156,-0.3389155784000953,-0.42656409525209005,0.06814207384983699,0.8745910337582852,0.34517121447457205,-0.9445046093314886,1.0758203653308251,-1.1095798134803772,0.9547177798218197,1.453555253230863,0.10244834340280956,0.39017107859253886,0.4467481714362899,-0.9221044896377457,0.4417876584869292,-0.07278477913803524,0.9186703519792192,-0.5301704098780949,0.18371092710230086,-0.6576062336564064,3.962047259012858,-0.5191756596995725,0.05006235672367944,1.5171781533294253,0.27421953375968666,-0.5518938590255048,1.3544788488083415,-0.3840834994282987,-0.6874542293520386,-0.7662127719157272,0.00485913368821558,0.5238743005527391,-0.5545884358075758,0.8868739600603779,0.7966158885922697,2.1700180588497058,0.23331707509027588,-1.1400462336010404,2.2185461560885114,-0.8392287849552101,-0.3309559657755825,-0.8378882378339767,-0.0023425372938315073,0.836473066939248,-0.934413534640852,0.26285954548252954,-0.30491770572132537,0.1763981448693408,-1.0420279039276972,-0.6399233367707994,-0.634191169258621,-0.1411626521911886,0.6260390811703271,-0.43165332939889695,-0.8244102055827777,-0.6045299407715599,0.8018143966794014,-0.7243835144572788,-0.21164911882434453,-0.6826539946926965,-1.2651272058486938,1.1439675914744536,-0.6659168847733073,-0.7400945546726386,-0.186443667848491,0.7897367437680562,-0.8946399302946196
